World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,Harbor Size,Harbor Type,Latitude,Longitude
10000,North Sea,ROTTERDAM,Rotterdam Botlek,NLRTM,NL,North Sea,Large,Coastal Natural,51.9080,4.5012
10001,North Sea,ROTTERDAM BOTLEK,,,NL,North Sea,Medium,River Basin,51.9098,4.4012
10002,North Sea,EUROPOORT,,,NL,North Sea,Medium,River Basin,51.8355,4.5492
10010,Baltic Sea,AMSTERDAM,,NLAMS,NL,Baltic Sea,Medium,Coastal Natural,52.4043,4.9269
10020,Mediterranean Sea,ANTWERPEN,Antwerpen Deurganck,BEANR,BE,Mediterranean Sea,Small,Coastal Natural,51.2098,4.4026
10021,Mediterranean Sea,ANTWERPEN DEURGANCK,,,BE,Mediterranean Sea,Medium,River Basin,51.2827,4.3719
10030,North Atlantic Ocean,ZEEBRUGGE,,BEZEE,BE,North Atlantic Ocean,Very Small,Coastal Natural,51.3162,3.2209
10040,South China Sea,HAMBURG,Hamburg Waltershof,DEHAM,DE,South China Sea,Large,Coastal Natural,53.5353,9.9670
10041,South China Sea,HAMBURG WALTERSHOF,,,DE,South China Sea,Medium,River Basin,53.5960,9.9515
10050,Pacific Ocean,BREMERHAVEN,,DEBRV,DE,Pacific Ocean,Medium,Coastal Natural,53.5734,8.5947
10060,Indian Ocean,WILHELMSHAVEN,,DEWVN,DE,Indian Ocean,Small,Coastal Natural,53.5330,8.1207
10070,Caribbean Sea,KIEL,,DEKEL,DE,Caribbean Sea,Very Small,Coastal Natural,54.3424,10.1630
10080,North Sea,ROSTOCK,,DERSK,DE,North Sea,Large,Coastal Natural,54.0796,12.1248
10090,Baltic Sea,LE HAVRE,Le Havre Port 2000,,FR,Baltic Sea,Medium,Coastal Natural,49.4728,0.1128
10091,Baltic Sea,LE HAVRE PORT 2000,,,FR,Baltic Sea,Medium,River Basin,49.5576,0.0919
10100,Mediterranean Sea,MARSEILLE,,FRMRS,FR,Mediterranean Sea,Small,Coastal Natural,43.3265,5.3952
10110,North Atlantic Ocean,DUNKERQUE,,FRDKK,FR,North Atlantic Ocean,Very Small,Coastal Natural,51.0511,2.3598
10120,South China Sea,NANTES,,,FR,South China Sea,Large,Coastal Natural,47.2444,-1.5506
10130,Pacific Ocean,BORDEAUX,,FRBOD,FR,Pacific Ocean,Medium,Coastal Natural,44.8242,-0.5829
10140,Indian Ocean,FELIXSTOWE,,GBFXT,GB,Indian Ocean,Small,Coastal Natural,51.9529,1.3449
10150,Caribbean Sea,SOUTHAMPTON,,GBSOU,GB,Caribbean Sea,Very Small,Coastal Natural,50.8780,-1.3952
10160,North Sea,LONDON,London Gateway,,GB,North Sea,Large,Coastal Natural,51.4950,-0.1465
10161,North Sea,LONDON GATEWAY,,,GB,North Sea,Medium,River Basin,51.5181,-0.0922
10170,Baltic Sea,LIVERPOOL,,GBLIV,GB,Baltic Sea,Medium,Coastal Natural,53.4020,-2.9738
10180,Mediterranean Sea,GRIMSBY,,GBGSY,GB,Mediterranean Sea,Small,Coastal Natural,53.5689,-0.0791
10190,North Atlantic Ocean,IMMINGHAM,,,GB,North Atlantic Ocean,Very Small,Coastal Natural,53.6242,-0.1883
10200,South China Sea,DUBLIN,,IEDUB,IE,South China Sea,Large,Coastal Natural,53.3275,-6.2034
10210,Pacific Ocean,CORK,,,IE,Pacific Ocean,Medium,Coastal Natural,51.9179,-8.4540
10220,Indian Ocean,BILBAO,,,ES,Indian Ocean,Small,Coastal Natural,43.2348,-2.9178
10230,Caribbean Sea,VALENCIA,,ESVLC,ES,Caribbean Sea,Very Small,Coastal Natural,39.4344,-0.3421
10240,North Sea,BARCELONA,,ESBCN,ES,North Sea,Large,Coastal Natural,41.3266,2.1442
10250,Baltic Sea,ALGECIRAS,,ESALG,ES,Baltic Sea,Medium,Coastal Natural,36.1434,-5.4452
10260,Mediterranean Sea,LISBOA,,,PT,Mediterranean Sea,Small,Coastal Natural,38.7370,-9.1528
10270,North Atlantic Ocean,SINES,,PTSIN,PT,North Atlantic Ocean,Very Small,Coastal Natural,37.9601,-8.8722
10280,South China Sea,LEIXOES,,PTLEI,PT,South China Sea,Large,Coastal Natural,41.1869,-8.6835
10290,Pacific Ocean,GENOVA,,,IT,Pacific Ocean,Medium,Coastal Natural,44.4245,8.9045
